X_Axis(um/deg),Y_Axis(um),Z_Altitude(um),Intensity(%)
9899.48,86.3915,96.0332,100
9898.21,172.774,96.0079,100
9896.19,259.141,95.9914,100
9893.41,345.486,95.9811,100
9889.88,431.802,95.9941,100
9885.6,518.082,96.0028,100
9880.56,604.321,96.0109,100
9874.78,690.512,95.9756,100
9868.24,776.647,96.0095,100
9860.94,862.721,95.9682,100
9852.9,948.727,95.9879,100
9844.11,1034.66,95.9964,100
9834.57,1120.51,95.9872,100
9824.28,1206.27,95.9847,100
9813.24,1291.94,95.9763,100
9801.45,1377.5,96.0135,100
9788.92,1462.96,95.9937,100
9775.65,1548.31,95.959,100
9761.62,1633.54,96.0047,100
9746.86,1718.63,96.0078,100
9731.36,1803.6,95.9902,100
9715.11,1888.43,96.0125,100
9698.12,1973.11,96.0256,100
9680.4,2057.63,95.9977,100
9661.94,2142,96.0284,100
9642.75,2226.2,96.0004,100
9622.82,2310.23,96.0001,100
9602.15,2394.09,96.0056,100
9580.76,2477.75,96.0316,100
9558.64,2561.23,95.9923,100
9535.79,2644.51,96.0013,100
9512.22,2727.58,96.0082,100
9487.92,2810.45,95.9729,100
9462.9,2893.1,96.0154,100
9437.16,2975.53,95.9794,100
9410.7,3057.72,95.9983,100
9383.53,3139.69,96.0259,100
9355.64,3221.41,96.0274,100
9327.04,3302.88,95.9952,100
9297.74,3384.1,96.0357,100
9267.72,3465.06,96.0237,100
9237,3545.75,95.9823,100
9205.58,3626.17,95.9833,100
9173.45,3706.32,96.0225,100
9140.63,3786.17,95.9944,100
9107.12,3865.74,95.9432,100
9072.91,3945.01,96.0326,100
9038.01,4023.98,96.0743,100
9002.42,4102.64,96.0449,100
8966.15,4180.99,96.0005,100
8929.2,4259.01,95.994,100
8891.57,4336.71,95.9859,100
8853.26,4414.07,95.9959,100
8814.28,4491.1,96.019,100
8774.63,4567.78,95.9882,100
8734.31,4644.12,96.0071,100
8693.33,4720.09,95.9906,100
8651.69,4795.71,95.9708,100
8609.39,4870.96,95.9706,100
8566.43,4945.83,95.9997,100
8522.83,5020.33,96.0538,100
8478.58,5094.44,96.0342,100
8433.68,5168.16,95.9953,100
8388.14,5241.49,95.9689,100
8341.96,5314.42,95.9887,100
8295.15,5386.93,95.9733,100
8247.71,5459.04,95.9975,100
8199.64,5530.73,95.9879,100
8150.95,5601.99,95.9809,100
8101.64,5672.83,95.9859,100
8051.72,5743.23,96.0022,100
8001.18,5813.2,95.9637,100
7950.03,5882.71,95.9581,100
7898.28,5951.78,95.972,100
7845.93,6020.4,95.9786,100
7792.99,6088.55,95.981,100
7739.45,6156.24,95.9853,100
7685.33,6223.45,95.9659,100
7630.62,6290.2,96.0206,100
7575.33,6356.46,95.9482,100
7519.46,6422.23,95.9829,100
7463.03,6487.51,95.9676,100
7406.03,6552.3,95.9942,100
7348.46,6616.59,95.9946,100
7290.34,6680.37,95.9524,100
7231.67,6743.64,95.9681,100
7172.44,6806.39,95.9329,100
7112.67,6868.63,95.9607,100
7052.36,6930.34,95.9899,100
6991.52,6991.52,95.9576,100
6930.14,7052.16,96.0108,100
6868.24,7112.27,95.9917,100
6805.82,7171.84,95.9646,100
6742.88,7230.85,95.9596,100
6679.43,7289.32,95.938,100
6615.47,7347.23,95.9573,100
6551.01,7404.57,95.9604,100
6486.05,7461.35,95.9463,100
6420.61,7517.56,95.9254,100
6354.67,7573.2,95.9458,100
6288.25,7628.26,95.9361,100
6221.36,7682.74,95.9153,100
6153.99,7736.63,95.9484,100
6086.16,7789.92,95.9784,100
6017.86,7842.63,95.9171,100
5949.11,7894.73,95.9586,100
5879.91,7946.24,95.9453,100
5810.26,7997.13,95.9348,100
5740.17,8047.42,95.9294,100
5669.64,8097.09,95.931,100
5598.69,8146.14,95.956,100
5527.31,8194.58,95.9837,100
5455.51,8242.38,95.9591,100
5383.3,8289.56,95.9375,100
5310.68,8336.1,95.9282,100
5237.66,8382.01,95.9286,100
5164.25,8427.28,95.924,100
5090.44,8471.91,95.9303,100
5016.24,8515.89,95.923,100
4941.67,8559.22,95.8978,100
4866.72,8601.89,95.888,100
4791.4,8643.92,95.9264,100
4715.72,8685.28,95.9361,100
4639.68,8725.97,95.9393,100
4563.29,8766.01,95.9284,100
4486.56,8805.37,95.8917,100
4409.49,8844.06,95.9292,100
4332.08,8882.08,95.9218,100
4254.35,8919.42,95.9369,100
4176.29,8956.08,95.8984,100
4097.92,8992.06,95.9243,100
4019.24,9027.35,95.9388,100
3940.25,9061.95,95.9474,100
3860.97,9095.87,95.9313,100
3781.39,9129.08,95.9593,100
3701.53,9161.61,95.924,100
3621.39,9193.43,95.9077,100
3540.97,9224.55,95.8668,100
3460.29,9254.97,95.8885,100
3379.35,9284.69,95.923,100
3298.15,9313.69,95.9082,100
